Player Name,Age,Season,Position,Team,Games Played,Games Started,Passing Attempts,Passing Completions,Passing Yards,Passing Touchdowns,Interceptions Thrown,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Targets,Receptions,Receiving Yards,Receiving Touchdowns,Fumbles,Field Goals Attempted 0-39,Field Goals Made 0-39,Field Goals Attempted 40-49,Field Goals Made 40-49,Field Goals Attempted 50+,Field Goals Made 50+,Field Goals Attempted,Field Goals Made,Extra Points Attempted,Extra Points Made,Total Yards Allowed,Total Plays,Takeaways,First Downs Allowed,Passing Yards Allowed,Passing Touchdowns Allowed,Rushing Yards Allowed,Rushing Touchdowns Allowed,Penalties Committed,Penalty Yards,First Downs by Penalty,Percent Drives Scored On,Percent Drives Takeaway,ST_Sacks,ST_Interceptions,ST_Fumble Recoveries,ST_Forced Fumbles,ST_Safeties,ST_Special Teams Touchdowns,Fantasy Points From Points,XP2,ESPN ADP,Sleeper ADP,NFL ADP,RTSports ADP,Average ADP,Positional ADP,PPR Fantasy Points Scored,Standard Fantasy Points Scored
Joe Flacco,35.0,2020,QB,NYJ,5.0,4.0,134.0,74.0,864.0,6.0,3.0,6.0,22.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,325.0,,,,325.0,44.0,52.76,52.76
Joe Mixon,24.0,2020,RB,CIN,6.0,6.0,,,,,,119.0,428.0,3.0,26.0,21.0,138.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,,,9.0,12.8,8.0,99.6,78.6
Joe Reed,22.0,2020,WR,LAC,11.0,0.0,,,,,,5.0,29.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.9,8.9
Joey Slye,24.0,2020,K,CAR,16.0,0.0,,,,,,,,,,,,,,22.0,21.0,8.0,7.0,6.0,1.0,36.0,29.0,36.0,33.0,,,,,,,,,,,,,,,,,,,,,,,,,253.0,262.5,22.0,116.0,116.0
John Brown,30.0,2020,WR,BUF,9.0,8.0,,,,,,0.0,0.0,0.0,52.0,33.0,458.0,3.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.0,,,102.0,117.0,45.0,96.8,63.8
John Hightower,24.0,2020,WR,PHI,13.0,4.0,,,,,,1.0,1.0,0.0,29.0,10.0,167.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,475.0,,,,475.0,145.0,26.8,16.8
John Lovett,24.0,2020,TE,GNB,8.0,0.0,,,,,,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,0.6
John Ross,25.0,2020,WR,CIN,3.0,1.0,,,,,,0.0,0.0,0.0,7.0,2.0,17.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182.0,66.0,3.7,1.7
John Wolford,25.0,2020,QB,LAR,1.0,1.0,38.0,22.0,231.0,0.0,1.0,6.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,269.0,,,,269.0,35.0,12.84,12.84
Johnny Mundt,26.0,2020,TE,LAR,16.0,1.0,,,,,,0.0,0.0,0.0,4.0,4.0,53.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.3,5.3
